epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,1.414066,0.518911,1.29302,0.43660,
002,0.897659,0.316822,0.83658,0.27880,
003,0.710451,0.247889,0.84921,0.27320,
004,0.613629,0.211267,0.67244,0.22320,
005,0.546875,0.187644,1.00667,0.31340,
006,0.504993,0.173044,0.84690,0.26360,
007,0.470126,0.161956,0.51826,0.18500,
008,0.442710,0.151644,0.62812,0.21040,
009,0.416587,0.143111,0.59375,0.19820,
010,0.403195,0.138911,0.69513,0.22300,
011,0.390343,0.134911,0.64469,0.20140,
012,0.376471,0.131644,0.54804,0.17880,
013,0.368345,0.127000,0.45786,0.15540,
014,0.352631,0.122089,0.57460,0.19900,
015,0.349725,0.120022,0.45368,0.14360,
016,0.339171,0.117844,0.47202,0.15240,
017,0.327211,0.113200,0.46845,0.14740,
018,0.327039,0.112844,0.70389,0.21760,
019,0.320445,0.113267,0.91538,0.24820,
020,0.320555,0.111911,0.53823,0.16700,
021,0.314190,0.108978,0.36902,0.11920,
022,0.303657,0.105267,0.46652,0.15320,
023,0.300098,0.105111,0.41811,0.13680,
024,0.294627,0.102733,0.40502,0.13120,
025,0.288369,0.101378,0.40543,0.12980,
026,0.286433,0.101400,0.38606,0.12240,
027,0.281698,0.097489,0.61136,0.18320,
028,0.286215,0.099800,0.49908,0.15300,
029,0.272822,0.094800,1.11007,0.26480,
030,0.285345,0.099178,0.36196,0.11880,
031,0.268657,0.094067,0.40460,0.13140,
032,0.265808,0.093022,0.46086,0.14700,
033,0.265700,0.093244,0.60802,0.18400,
034,0.262879,0.091178,0.36167,0.12040,
035,0.259280,0.092089,0.40618,0.12740,
036,0.255845,0.090044,0.32615,0.10700,
037,0.254134,0.087822,0.42608,0.13780,
038,0.248944,0.086778,0.35645,0.11420,
039,0.249227,0.086956,0.39502,0.12220,
040,0.243263,0.083956,0.42631,0.13140,
041,0.240928,0.084244,0.35170,0.11380,
042,0.242886,0.084533,0.41938,0.13960,
043,0.242094,0.084711,0.31478,0.10080,
044,0.236130,0.082022,0.44247,0.14100,
045,0.242140,0.084756,0.36141,0.11680,
